year,FIPS,average_yield
2014,1003,126.22
2015,1003,129.2
2016,1003,126.25999999999999
2017,1003,143.66
2018,1003,151.4
2019,1003,150.59999999999997
2020,1003,153.0
2021,1003,152.92000000000002
2022,1003,153.2
2014,1015,111.4
2014,1019,93.1
2015,1019,99.14
2016,1019,105.7
2017,1019,101.25999999999999
2014,1033,136.94
2015,1033,150.04000000000002
2016,1033,153.3
2017,1033,152.28
2018,1033,170.85999999999999
2019,1033,165.14
2020,1033,159.24
2021,1033,162.44
2022,1033,172.14000000000001
2017,1035,108.4
2018,1035,107.74000000000001
2019,1035,111.47999999999999
2020,1035,110.13999999999999
2014,1043,109.82000000000001
2015,1043,121.71999999999998
2016,1043,135.82
2017,1043,133.38
2018,1043,149.64000000000001
2019,1043,159.92000000000002
2020,1043,162.3
2021,1043,164.96
2022,1043,177.35999999999999
2016,1045,117.14000000000001
2017,1045,127.42
2014,1047,97.56
2021,1047,136.44
2022,1047,143.44
2008,1049,100.6
2009,1049,94.8
2010,1049,91.0
2011,1049,82.6
2012,1049,96.94
2013,1049,101.64
2014,1049,115.54
2015,1049,121.0
2016,1049,133.8
2017,1049,127.22
2018,1049,139.2
2019,1049,144.76
2020,1049,142.07999999999998
2021,1049,143.06
2022,1049,156.07999999999998
2014,1053,88.08
2015,1053,103.78
2016,1053,108.86000000000001
2017,1053,128.42000000000002
2018,1053,133.68
2017,1055,104.84
2014,1057,90.3
2021,1057,113.18000000000002
2022,1057,121.44000000000001
2014,1069,109.16
2015,1069,122.22
2008,1071,101.2
2009,1071,95.6
2010,1071,91.6
2011,1071,88.4
2012,1071,100.46000000000001
2013,1071,107.62
2014,1071,115.4
2015,1071,123.38000000000002
2016,1071,131.32
2017,1071,123.96
2018,1071,132.04
2019,1071,136.7
2020,1071,131.38
2021,1071,131.71999999999997
2022,1071,146.92
2008,1077,113.6
2009,1077,104.4
2010,1077,103.4
2011,1077,106.3
2012,1077,114.46
2013,1077,111.2
2014,1077,122.32000000000001
2015,1077,133.2
2016,1077,140.22
2017,1077,136.56
2018,1077,157.1
2019,1077,159.24
2020,1077,156.9
2021,1077,157.68
2022,1077,171.62
2008,1079,118.0
2009,1079,107.0
2010,1079,99.2
2011,1079,100.6
2012,1079,111.7
2013,1079,112.82000000000001
2014,1079,127.62
2015,1079,142.64000000000001
2016,1079,142.1
2017,1079,139.04000000000002
2018,1079,164.12
2019,1079,165.1
2020,1079,162.04000000000002
2021,1079,171.16000000000003
2022,1079,184.64
2008,1083,124.8
2009,1083,119.2
2010,1083,117.6
2011,1083,118.7
2012,1083,127.35999999999999
2013,1083,121.74000000000001
2014,1083,129.2
2015,1083,137.14000000000001
2016,1083,142.4
2017,1083,139.32
2018,1083,164.71999999999997
2019,1083,169.5
2020,1083,165.3
2021,1083,167.16
2022,1083,183.18
2008,1089,119.0
2009,1089,124.6
2010,1089,122.8
2011,1089,116.97999999999999
2012,1089,128.56
2013,1089,130.68
2014,1089,132.4
2015,1089,140.6
2016,1089,152.45999999999998
2017,1089,153.02
2018,1089,166.23999999999998
2019,1089,165.85999999999999
2020,1089,168.04000000000002
2021,1089,164.92
2022,1089,172.84
2014,1095,104.2
2014,1099,96.66
2015,1099,111.47999999999999
2016,1099,126.42
