year,state_name,county_name,yield,FIPS
2001,ALABAMA,AUTAUGA,71.0,1001
2002,ALABAMA,AUTAUGA,52.0,1001
2003,ALABAMA,AUTAUGA,120.0,1001
2004,ALABAMA,AUTAUGA,83.0,1001
2005,ALABAMA,AUTAUGA,103.0,1001
2006,ALABAMA,AUTAUGA,66.0,1001
2007,ALABAMA,AUTAUGA,40.0,1001
2011,ALABAMA,AUTAUGA,111.1,1001
2013,ALABAMA,AUTAUGA,99.3,1001
2017,ALABAMA,AUTAUGA,170.8,1001
2018,ALABAMA,AUTAUGA,165.6,1001
2019,ALABAMA,AUTAUGA,165.6,1001
2020,ALABAMA,AUTAUGA,156.6,1001
2002,ALABAMA,BALDWIN,94.0,1003
2003,ALABAMA,BALDWIN,120.0,1003
2004,ALABAMA,BALDWIN,120.0,1003
2005,ALABAMA,BALDWIN,124.0,1003
2006,ALABAMA,BALDWIN,89.0,1003
2007,ALABAMA,BALDWIN,105.0,1003
2009,ALABAMA,BALDWIN,124.0,1003
2010,ALABAMA,BALDWIN,161.9,1003
2011,ALABAMA,BALDWIN,65.9,1003
2012,ALABAMA,BALDWIN,123.3,1003
2013,ALABAMA,BALDWIN,156.0,1003
2014,ALABAMA,BALDWIN,138.9,1003
2015,ALABAMA,BALDWIN,147.2,1003
2016,ALABAMA,BALDWIN,152.9,1003
2017,ALABAMA,BALDWIN,162.0,1003
2018,ALABAMA,BALDWIN,152.0,1003
2019,ALABAMA,BALDWIN,150.9,1003
2020,ALABAMA,BALDWIN,146.8,1003
2021,ALABAMA,BALDWIN,154.3,1003
2022,ALABAMA,BALDWIN,139.0,1003
2001,ALABAMA,BARBOUR,99.0,1005
2002,ALABAMA,BARBOUR,88.0,1005
2003,ALABAMA,BARBOUR,115.0,1005
2004,ALABAMA,BARBOUR,93.0,1005
2005,ALABAMA,BARBOUR,114.0,1005
2006,ALABAMA,BARBOUR,75.0,1005
2007,ALABAMA,BARBOUR,103.0,1005
2009,ALABAMA,BARBOUR,109.0,1005
2010,ALABAMA,BARBOUR,79.4,1005
2011,ALABAMA,BARBOUR,119.6,1005
2013,ALABAMA,BARBOUR,153.8,1005
2014,ALABAMA,BARBOUR,166.3,1005
2015,ALABAMA,BARBOUR,181.6,1005
2016,ALABAMA,BARBOUR,188.9,1005
2017,ALABAMA,BARBOUR,192.3,1005
2019,ALABAMA,BARBOUR,184.1,1005
2020,ALABAMA,BARBOUR,151.7,1005
2021,ALABAMA,BARBOUR,189.3,1005
2022,ALABAMA,BARBOUR,159.8,1005
2001,ALABAMA,BLOUNT,127.0,1009
2002,ALABAMA,BLOUNT,94.0,1009
2003,ALABAMA,BLOUNT,128.0,1009
2004,ALABAMA,BLOUNT,139.0,1009
